date,HS300,SZZS,SZZZ
2018/11/5,3262.8351,2665.4306,1351.004
2018/11/6,3243.1504,2659.3564,1346.19
2018/11/7,3221.9101,2641.342,1340.371
2018/11/8,3212.7737,2635.6322,1333.977
2018/11/9,3167.4442,2598.8715,1328.19
2018/11/12,3205.1407,2630.5195,1361.743
2018/11/13,3237.3823,2654.8795,1383.916
2018/11/14,3204.9427,2632.2425,1378.36
2018/11/15,3242.3715,2668.1704,1398.396
2018/11/16,3257.6735,2679.1097,1410.181
2018/11/19,3294.6031,2703.5116,1417.427
2018/11/20,3218.4076,2645.8545,1378.921
2018/11/21,3226.4918,2651.5053,1386.428
2018/11/22,3214.4273,2645.4339,1385.838
2018/11/23,3143.4752,2579.4831,1335.153
2018/11/26,3141.2434,2575.8101,1330.928
2018/11/27,3137.2413,2574.6792,1336.676
2018/11/28,3178.9326,2601.7365,1355.379
2018/11/29,3137.6542,2567.4434,1325.431
2018/11/30,3172.69,2588.1875,1337.742
2018/12/3,3260.9502,2654.798,1381.547
2018/12/4,3267.7095,2665.9577,1387.49
2018/12/5,3252.0041,2649.8051,1380.777
2018/12/6,3181.673,2605.1813,1350.753
2018/12/7,3181.5646,2605.8876,1350.696
2018/12/10,3144.7631,2584.5822,1332.527
2018/12/11,3159.8158,2594.0881,1343.896
2018/12/12,3170.6092,2602.1526,1346.031
2018/12/13,3219.6924,2634.0491,1360.922
2018/12/14,3165.9109,2593.7407,1327.416
2018/12/17,3161.1966,2597.9737,1323.315
2018/12/18,3128.4265,2576.6495,1312.552
2018/12/19,3091.1255,2549.5634,1294.485
2018/12/20,3067.4169,2536.2675,1297.102
2018/12/21,3029.3951,2516.2506,1284.665
2018/12/24,3038.1981,2527.0071,1295.719
2018/12/25,3017.2815,2504.819,1285.187
2018/12/26,3002.0327,2498.2939,1279.788
2018/12/27,2990.5057,2483.0864,1264.23
2018/12/28,3010.6536,2493.8962,1267.869
2019/1/2,2969.5353,2465.291,1256.389
2019/1/3,2964.8421,2464.3628,1246.365
2019/1/4,3035.8741,2514.8682,1279.489
2019/1/7,3054.303,2533.0887,1301.407
2019/1/8,3047.7035,2526.4622,1299.89
2019/1/9,3078.4759,2544.3449,1306.945
2019/1/10,3072.6864,2535.0985,1303.476
2019/1/11,3094.7782,2553.8313,1313.357
2019/1/14,3067.7845,2535.7653,1303.75
2019/1/15,3127.9904,2570.3449,1323.161
2019/1/16,3128.6517,2570.4221,1321.524
2019/1/17,3111.4168,2559.637,1309.145
2019/1/18,3168.1739,2596.0056,1322.137
2019/1/21,3185.6364,2610.5094,1330.165
2019/1/22,3143.3171,2579.7041,1314.584
2019/1/23,3141.0532,2581.0041,1316.282
2019/1/24,3158.7817,2591.6935,1322.301
2019/1/25,3184.4696,2601.7234,1319.972
2019/1/28,3183.7777,2596.9767,1314.992
2019/1/29,3193.9698,2594.2536,1300.34
2019/1/30,3168.4829,2575.5756,1283.709
2019/1/31,3201.6331,2584.5724,1274.744
2019/2/1,3247.3971,2618.2323,1309.991
2019/2/11,3306.4725,2653.896,1347.937
2019/2/12,3330.3353,2671.8937,1364.146
2019/2/13,3397.0276,2721.0683,1389.684
2019/2/14,3402.1403,2719.6999,1398.842
2019/2/15,3338.7047,2682.385,1389.467
2019/2/18,3445.7448,2754.3566,1440.951
2019/2/19,3439.6078,2755.6459,1443.598
2019/2/20,3451.9273,2761.2189,1448.238
2019/2/21,3442.7056,2751.8012,1444.347
2019/2/22,3520.1182,2804.2262,1477.248
2019/2/25,3729.4831,2961.2834,1557.271
2019/2/26,3684.6935,2941.5163,1549.705
2019/2/27,3678.3921,2953.8242,1540.918
2019/2/28,3669.3703,2940.9538,1546.331
2019/3/1,3749.7143,2994.005,1564.84
2019/3/4,3794.104,3027.5755,1599.482
