DATE,trade_date,open,high,low,close,pre_close,vol,open,high,low,close,pre_close,vol,open,high,low,close,pre_close,vol
,,MAOTAI,MAOTAI,MAOTAI,MAOTAI,MAOTAI,MAOTAI,LZLJ,LZLJ,LZLJ,LZLJ,LZLJ,LZLJ,WLY,WLY,WLY,WLY,WLY,WLY
2018/11/5,20181105,593,593,571.77,575.8,599.9,75517.08,40,40.34,39.23,39.59,41,111607.13,52.66,52.9,51.1,51.75,53.69,457640.85
2018/11/6,20181106,574,574.16,558.01,566,575.8,45566.14,39.48,39.5,38.02,38.85,39.59,100502.93,51.73,51.73,50.02,50.8,51.75,283324.05
2018/11/7,20181107,569,574.95,562.01,566.4,566,38107.78,39.02,39.78,38.58,38.92,38.85,69197.43,50.91,51.5,50.22,50.5,50.8,240856.54
2018/11/8,20181108,574,577,568,570.34,566.4,33763.74,39.43,39.77,38.78,39.06,38.92,69429.43,51.14,51.49,50.5,50.69,50.5,182009.62
2018/11/9,20181109,567.22,569,562,562,570.34,24336.82,38.9,39.53,38.09,38.97,39.06,87452.91,50.01,50.44,49.89,50.01,50.69,146378.08
2018/11/12,20181112,553,554.2,536.8,552,562,67824.22,38.7,39.29,38.05,38.78,38.97,115225.89,49.84,50.19,49,50.05,50.01,261821.66
2018/11/13,20181113,546.12,570,543,570,552,66429.05,38.3,40.98,38.1,40.55,38.78,165415.68,49.4,51.69,49.27,51.25,50.05,326150.89
2018/11/14,20181114,569.96,569.96,552.55,555.1,570,41766.83,40.28,40.4,39.51,39.95,40.55,82924.27,51.25,51.26,50.06,50.17,51.25,206289.63
2018/11/15,20181115,558.8,564.8,555.5,559.7,555.1,30833.4,40.13,40.64,39.99,40.4,39.95,75259.44,50.36,50.84,50.21,50.59,50.17,151935.11
2018/11/16,20181116,561,566,558.03,560,559.7,28938.79,40.6,40.84,40.02,40.29,40.4,57493.3,50.8,51.18,50.41,50.69,50.59,196548.68
2018/11/19,20181119,560.3,572,559.11,569.02,560,36179.25,40.21,41.78,40.21,41.44,40.29,87584.65,50.84,51.98,50.6,51.69,50.69,247184.44
2018/11/20,20181120,565,568,560,561.6,569.02,26943.26,40.9,41.22,40.3,40.32,41.44,58761.88,51.48,51.5,50.6,50.61,51.69,180986.37
2018/11/21,20181121,554,568.9,553.68,564.7,561.6,27107.3,40,41.65,39.76,41.19,40.32,81417.89,50.01,51.44,49.9,51.13,50.61,182848.43
2018/11/22,20181122,565.15,567.33,558,564.5,564.7,21213.33,41.18,41.51,40.78,41.3,41.19,56495.33,51.3,51.48,50.36,50.99,51.13,124116.32
2018/11/23,20181123,564,567.3,556.9,556.9,564.5,20126.21,41.35,41.35,40.11,40.23,41.3,57388.24,50.98,51.2,50,50.02,50.99,137979.26
2018/11/26,20181126,558,560.2,552,552.11,556.9,19120.19,40.5,40.55,39.9,40.02,40.23,40014.3,50.4,50.64,50,50.09,50.02,95098.8
